"Name","BD","Num","Pos","Team","GP","G","A","PTS","Pts/G","PPG"
"Shawn Spearing","Jul 26, 2002",7,"D","Peterborough Petes",31,0,3,3,0.1,0
"Nate Krawchuk","Jul  4, 2005",30,"G","Sudbury Wolves",11,0,2,2,0.18,0
"Will Bishop","Mar 17, 2005",5,"D","Sudbury Wolves",14,0,2,2,0.14,0
"Ian Phillips","Jul  3, 2003",73,"LW","Saginaw Spirit",15,0,2,2,0.13,0
"Mitch Young","Apr 29, 2005",5,"D","Sarnia Sting",15,0,2,2,0.13,0
"Corbin Votary","Apr 12, 2004",30,"G","Owen Sound Attack",22,0,2,2,0.09,0
"Joey Costanzo","Jul 26, 2005",33,"G","Windsor Spitfires",24,0,2,2,0.08,0
"Antonio Tersigni","May  3, 2006",37,"C","Owen Sound Attack",28,0,2,2,0.07,0
"Evan Klein","Jan 12, 2004",57,"LW","Niagara IceDogs",29,0,2,2,0.07,0
"Max Donoso","Jun 11, 2003",35,"G","Ottawa 67's",31,0,2,2,0.06,0
"Samuel Ivanov","Jan  2, 2003",33,"G","Soo Greyhounds",31,0,2,2,0.06,0
"Antonino Pugliese","Apr  9, 2004",44,"RW","Kitchener Rangers",32,0,2,2,0.06,0
"Carter George","May 20, 2006",32,"G","Owen Sound Attack",4,0,1,1,0.25,0
"Braydon McCallum","May  3, 2006",15,"C","Peterborough Petes",4,0,1,1,0.25,0
"William Haley","Oct 15, 2005",71,"LD","Mississauga Steelheads",5,0,1,1,0.2,0
"Andrew Wycisk","Jul  1, 2005",75,"D","Niagara IceDogs",6,0,1,1,0.17,0
"Noah VandenBrink","Jan  6, 2005",12,"RW","Hamilton Bulldogs",8,0,1,1,0.13,0
"Callum Cheynowski","Aug  4, 2006",71,"D","Hamilton Bulldogs",9,0,1,1,0.11,0
"Andrew Oke","Mar 26, 2004",29,"G","Saginaw Spirit",11,0,1,1,0.09,0
"Liam Sztuska","May  1, 2004",1,"G","Peterborough Petes",11,0,1,1,0.09,0
"Zach Bowen","Apr 25, 2005",31,"G","London Knights",12,0,1,1,0.08,0
"Charlie Robertson","Apr  2, 2005",32,"G","North Bay Battalion",14,0,1,1,0.07,0
"Marcus Vandenberg","Apr 25, 2004",41,"G","Kitchener Rangers",14,0,1,1,0.07,0
"Mason Vaccari","Apr 29, 2005",1,"G","Kingston Frontenacs",16,0,1,1,0.06,0
"Kyle Downey (total)","Mar  4, 2004",80,"G","Erie Otters",17,0,1,1,0.06,0
"Nathan Aspinall","Mar 30, 2006",76,"LW","Flint Firebirds",18,0,1,1,0.06,0
"Bode Stewart","Feb  9, 2006",71,"LW","Saginaw Spirit",19,0,1,1,0.05,0
"Kashawn Aitcheson","Sep 21, 2006",74,"D","Barrie Colts",20,0,1,1,0.05,0
"Daylen Moses","Jun 13, 2005",12,"C","Soo Greyhounds",21,0,1,1,0.05,0
"Matthew Buckley","Mar 21, 2005",11,"RW","Oshawa Generals",22,0,1,1,0.05,0
"Sam McCue","Oct  3, 2005",12,"LW","Peterborough Petes",22,0,1,1,0.05,0
"Braedyn Rogers","Nov 22, 2006",2,"D","Owen Sound Attack",22,0,1,1,0.05,0
"Alessio Beglieri","Jan  5, 2004",29,"G","Mississauga Steelheads",23,0,1,1,0.04,0
"Nick Chenard","Mar 29, 2002",31,"G","Owen Sound Attack",23,0,1,1,0.04,0
"Ryerson Leenders","Jun  1, 2006",31,"G","Mississauga Steelheads",23,0,1,1,0.04,0
"Matthew Jenken","Oct 12, 2005",27,"D","Flint Firebirds",24,0,1,1,0.04,0
"Noah Roberts","Dec  2, 2005",7,"D","Hamilton Bulldogs",24,0,1,1,0.04,0
"Justin Bottineau","Jan 11, 2006",77,"C","Kitchener Rangers",25,0,1,1,0.04,0
"Anson Thornton","Jun 28, 2003",33,"G","Barrie Colts",26,0,1,1,0.04,0
"Benjamin Gaudreau","Jan 11, 2003",70,"G","Sarnia Sting",27,0,1,1,0.04,0
"David Bedkowski","Dec  7, 2006",7,"D","Oshawa Generals",28,0,1,1,0.04,0
"Ryan Struthers","Jan  2, 2004",16,"C","Mississauga Steelheads",28,0,1,1,0.04,0
"Brayden Turley","Aug  8, 2006",7,"D","North Bay Battalion",29,0,1,1,0.03,0
"Tristan Lennox","Oct 21, 2002",30,"G","Saginaw Spirit",30,0,1,1,0.03,0
"Owen MacDonald","Aug 28, 2004",6,"D","Sarnia Sting",30,0,1,1,0.03,0
"Brett Brochu","Sep  9, 2002",30,"G","London Knights",31,0,1,1,0.03,0
"Ranvir Gill-Shane (total)","Jun 17, 2003",72,"D","Hamilton Bulldogs",32,0,1,1,0.03,0
"Patrick Leaver (total)","Sep  4, 2003",1,"G","Guelph Storm",32,0,1,1,0.03,0
"Wylie Birkett","Mar  5, 2004",2,"LW","Windsor Spitfires",1,0,0,0,0,0
"Charlie Burns","Jan 29, 2006",33,"G","Niagara IceDogs",1,0,0,0,0,0
"David Egorov","May 18, 2006",31,"G","Hamilton Bulldogs",1,0,0,0,0,0
"Sam Hillebrandt (total)","Feb 21, 2005",30,"G","Barrie Colts",1,0,0,0,0,0
"Ethan Kowatsch","May 25, 2005",32,"G","Guelph Storm",1,0,0,0,0,0
"Carson Lloyd","Dec  8, 2005",21,"D","Hamilton Bulldogs",1,0,0,0,0,0
"Tnias Mathurin","Jan 15, 2004",5,"D","North Bay Battalion",1,0,0,0,0,0
"Mike McIvor","Mar 22, 2006",34,"G","North Bay Battalion",1,0,0,0,0,0
"Ian Michelone","Jun 21, 2004",21,"G","Windsor Spitfires",1,0,0,0,0,0
"Lucas Rodriguez","Apr 26, 2006",26,"D","Oshawa Generals",1,0,0,0,0,0
"Landon Miller","Jan  3, 2006",36,"G","Soo Greyhounds",2,0,0,0,0,0
"Chazz Nixon","Apr  3, 2004",1,"G","Mississauga Steelheads",2,0,0,0,0,0
"Ty Henry","Jul 19, 2006",2,"D","Erie Otters",3,0,0,0,0,0
"Raine Nadeau","Aug 24, 2004",7,"D","Kingston Frontenacs",3,0,0,0,0,0
"Bradley Horner","Jun 16, 2005",5,"D","Ottawa 67's",4,0,0,0,0,0
"Cameron Lowe","Mar  4, 2004",86,"C","Erie Otters",4,0,0,0,0,0
"Ryan O'Dell","Feb 14, 2004",15,"D","Oshawa Generals",5,0,0,0,0,0
"Jackson Parsons","Nov 23, 2004",32,"G","Kitchener Rangers",5,0,0,0,0,0
"Gabriel Runco","Jan  8, 2005",74,"D","Niagara IceDogs",5,0,0,0,0,0
"William Stewart","Feb 23, 2005",20,"RW","Niagara IceDogs",5,0,0,0,0,0
"Dustin Good","Jan  1, 2005",21,"RW","Soo Greyhounds",6,0,0,0,0,0
"Alessandro Petreccia","Feb 12, 2004",22,"D","Kingston Frontenacs",6,0,0,0,0,0
"Kevyn Brassard","Jun  1, 2002",1,"G","Sudbury Wolves",7,0,0,0,0,0
"Liam Spencer","Jan 19, 2006",2,"LD","Mississauga Steelheads",7,0,0,0,0,0
"Rowan Topp","Apr  2, 2006",3,"D","Guelph Storm",7,0,0,0,0,0
"Brodie McConnell-Barker","Jan 31, 2006",2,"LD","Soo Greyhounds",8,0,0,0,0,0
"Brett Bouchard","Jan 18, 2005",23,"RW","North Bay Battalion",11,0,0,0,0,0
"Brayden Gillespie","Jul 23, 2005",31,"G","Guelph Storm",12,0,0,0,0,0
"Carter Bickle","May 27, 2004",31,"G","Oshawa Generals",14,0,0,0,0,0
"Charlie Schenkel","Aug 16, 2004",31,"G","Soo Greyhounds",14,0,0,0,0,0
"Collin MacKenzie","Nov 30, 2004",33,"G","Ottawa 67's",15,0,0,0,0,0
"Nathan Day","Feb  4, 2005",31,"G","Flint Firebirds",17,0,0,0,0,0
"Tristan Malboeuf","Mar 21, 2004",29,"G","Hamilton Bulldogs",17,0,0,0,0,0
"Ben West","Apr  4, 2003",1,"G","Barrie Colts",17,0,0,0,0,0
"Carson Campbell","Jun  8, 2006",28,"D","Sarnia Sting",19,0,0,0,0,0
"Nicholas Surzycia","Dec 17, 2004",31,"G","Sarnia Sting",19,0,0,0,0,0
"Caleb Van De Ven","Nov 24, 2004",39,"RD","Soo Greyhounds",20,0,0,0,0,0
"Josh Rosenzweig","Feb 27, 2003",34,"G","Niagara IceDogs",21,0,0,0,0,0
"Nolan Lalonde","Feb 14, 2004",79,"G","Erie Otters",23,0,0,0,0,0
"Mathias Onuska","May 30, 2002",36,"G","Windsor Spitfires",23,0,0,0,0,0
"Owen Flores","May  9, 2004",35,"G","Niagara IceDogs",24,0,0,0,0,0
"Marco Costantini (total)","Aug  4, 2002",33,"G","Kitchener Rangers",27,0,0,0,0,0
"Matteo Drobac","Aug  7, 2003",45,"G","Hamilton Bulldogs",27,0,0,0,0,0
"Quinn Binnie","Apr 29, 2004",83,"RW","Mississauga Steelheads",28,0,0,0,0,0
"Alex Messier","Mar 23, 2005",21,"LW","Erie Otters",28,0,0,0,0,0
"Jacob Oster (total)","Mar 26, 2004",38,"G","Oshawa Generals",28,0,0,0,0,0
"Ivan Zhigalov","Apr 30, 2003",30,"G","Kingston Frontenacs",29,0,0,0,0,0
"Dom DiVincentiis","Mar  4, 2004",31,"G","North Bay Battalion",30,0,0,0,0,0
"Will Cranley","Feb 26, 2002",70,"G","Flint Firebirds",31,0,0,0,0,0
"Stevie Leskovar (total)","Sep  9, 2004",4,"LD","Mississauga Steelheads",32,0,0,0,0,0
"Michael Simpson","Feb  9, 2003",31,"G","Peterborough Petes",33,0,0,0,0,0
"Austin Harper","Feb  4, 2004",24,"RW","Sarnia Sting",18,0,2,2,0.11,0
"Kaeden Johnston","Feb  3, 2005",37,"RW","London Knights",4,0,1,1,0.25,0
"Zack Terry","Apr  5, 2002",44,"D","Flint Firebirds",5,0,1,1,0.2,0
"Abakar Kazbekov","May 30, 2004",15,"C","London Knights",12,0,1,1,0.08,0
"Harrison Ballard","Apr 16, 2004",9,"C","Soo Greyhounds",20,0,1,1,0.05,0
"David Brown","Mar 19, 2005",81,"LW","Saginaw Spirit",1,0,0,0,0,0
"Carson Christy","Oct 15, 2004",92,"RW","Saginaw Spirit",1,0,0,0,0,0
"Dylan Grover","Jun 27, 2004",30,"G","Sarnia Sting",1,0,0,0,0,0
"Carson Hall","Apr 29, 2006",10,"LW","Sarnia Sting",1,0,0,0,0,0
"Blake Peters-Davey","Jun 22, 2004",24,"LW","Sudbury Wolves",1,0,0,0,0,0
"Boe Piroski (total)","Mar  4, 2004",88,"G","Flint Firebirds",1,0,0,0,0,0
"Conor Walton","Apr 22, 2006",4,"D","Sudbury Wolves",1,0,0,0,0,0
"Brett Fullerton","Jun 25, 2004",41,"G","Saginaw Spirit",2,0,0,0,0,0
"Jacob Gibbons (total)","Nov 23, 2006",32,"G","Mississauga Steelheads",2,0,0,0,0,0
"Nick Graniero","Apr 20, 2004",20,"LW","Windsor Spitfires",2,0,0,0,0,0
"Ben Pickell","Jul 20, 2005",12,"C","Barrie Colts",2,0,0,0,0,0
"Tyson Rismond","Mar 30, 2006",17,"D","North Bay Battalion",2,0,0,0,0,0
"Michael Derbidge","Apr  4, 2005",44,"LW","Sudbury Wolves",3,0,0,0,0,0
"Sam O'Reilly","Mar 30, 2006",23,"RW","London Knights",3,0,0,0,0,0
"Andrew Whitton","Oct 25, 2003",24,"RW","Oshawa Generals",3,0,0,0,0,0
"Jack Harper","Jan 14, 2002",24,"D","Kitchener Rangers",4,0,0,0,0,0
"Nicholas Holomego","May 19, 2006",65,"D","Erie Otters",4,0,0,0,0,0
"Michael Levin","Oct 16, 2005",18,"LW","London Knights",4,0,0,0,0,0
"Marshall Nicholls","Jun 13, 2003",34,"G","Erie Otters",6,0,0,0,0,0
"Ethan Toms","Jan 19, 2006",61,"C","Oshawa Generals",6,0,0,0,0,0
"Andrew Vermeulen","Feb  7, 2006",79,"RW","Niagara IceDogs",7,0,0,0,0,0
"Sean Doherty","Mar 23, 2006",98,"RW","Sarnia Sting",8,0,0,0,0,0
"Dixon Grimes","Apr  5, 2003",32,"G","Guelph Storm",9,0,0,0,0,0
"Josh Glavin","Sep 24, 2006",5,"D","Saginaw Spirit",10,0,0,0,0,0
"Blair Scott","Apr 14, 2005",7,"D","Kitchener Rangers",12,0,0,0,0,0
"Luc Schweingruber","Mar 29, 2003",10,"D","Owen Sound Attack",27,0,0,0,0,0
"Joe Ranger","Feb 12, 2002",29,"G","Sudbury Wolves",28,0,0,0,0,0
