"Name","BD","Num","Pos","Team","GP","G","A","PTS","Pts/G","PPG"
"Isaiah George","Feb 15, 2004",4,"D","London Knights",31,4,12,16,0.52,0
"Nic Sima (total)","Mar 31, 2005",92,"RW","Saginaw Spirit",40,4,9,13,0.33,1
"Sam Dickinson","Jun  7, 2006",3,"D","London Knights",35,4,8,12,0.34,2
"Ethan Procyszyn","Jul 11, 2006",21,"RW","North Bay Battalion",37,4,8,12,0.32,0
"Lawson Sherk","May  3, 2003",39,"C","Hamilton Bulldogs",42,4,8,12,0.29,2
"Brandt Clarke","Feb  9, 2003",55,"D","Barrie Colts",6,4,7,11,1.83,2
"Anthony Agostinelli","Jan  7, 2003",3,"RW","Niagara IceDogs",23,4,7,11,0.48,0
"Nolan Collins","Apr 28, 2004",77,"D","Sudbury Wolves",36,4,7,11,0.31,1
"Sebastien Gervais","Apr 11, 2005",15,"LW","Saginaw Spirit",42,4,7,11,0.26,0
"Ryan Del Monte","Apr  3, 2003",34,"C","London Knights",15,4,6,10,0.67,0
"Ryan Winterton (total)","Sep  4, 2003",26,"C","London Knights",8,4,5,9,1.13,1
"Alexander Lukin","Mar 27, 2004",28,"D","North Bay Battalion",40,4,5,9,0.23,0
"Cole Beaudoin","Apr 24, 2006",29,"C","Barrie Colts",36,4,4,8,0.22,0
"Hunter McKenzie","Dec  7, 2006",14,"C","Guelph Storm",25,4,3,7,0.28,0
"Jordyn Ertel","May 16, 2005",10,"C","Oshawa Generals",25,4,2,6,0.24,0
"Jackson Stewart (total)","Jun 18, 2004",22,"LW","Owen Sound Attack",29,4,1,5,0.17,0
"Adam Cavallin","Apr  3, 2005",37,"C","Kingston Frontenacs",36,4,1,5,0.14,0
"Tyson Doucette","Jan 30, 2004",25,"LW","Sarnia Sting",35,4,0,4,0.11,0
"Brice Cooke (total)","Mar 23, 2004",9,"LW","Mississauga Steelheads",41,4,0,4,0.1,1
"Hunter Brzustewicz","Nov 29, 2004",4,"D","Kitchener Rangers",40,3,29,32,0.8,0
"Tristan Bertucci","Jul 12, 2005",12,"D","Flint Firebirds",39,3,24,27,0.69,0
"Ethan Del Mastro (total)","Jan 15, 2003",77,"LD","Sarnia Sting",27,3,23,26,0.96,2
"Jacob Holmes (total)","Jul  4, 2003",47,"D","Windsor Spitfires",41,3,21,24,0.59,1
"Kasper Larsen","Sep 23, 2002",22,"LD","Mississauga Steelheads",29,3,17,20,0.69,1
"Jackson Edward","Feb 27, 2004",92,"D","London Knights",39,3,16,19,0.49,0
"Zach Wigle","Jan 12, 2004",9,"C","Barrie Colts",41,3,12,15,0.37,0
"Gerard Keane (total)","Jan 30, 2002",9,"D","Niagara IceDogs",29,3,10,13,0.45,1
"Artur Cholach","Jun  6, 2003",91,"D","Barrie Colts",33,3,10,13,0.39,1
"Matthew Mayich","Dec 21, 2004",22,"D","Ottawa 67's",39,3,10,13,0.33,0
"Thomas Budnick","Feb 14, 2004",24,"D","Kingston Frontenacs",41,3,10,13,0.32,0
"Jakub Chromiak","Nov  2, 2005",7,"D","Sudbury Wolves",35,3,9,12,0.34,0
"Thomas Stewart","Jan  6, 2003",3,"D","Oshawa Generals",40,3,9,12,0.3,0
"Braeden O'Keefe","Jun  8, 2005",42,"C","Hamilton Bulldogs",39,3,8,11,0.28,1
"Braden Haché (total)","May 21, 2003",6,"D","Barrie Colts",42,3,8,11,0.26,1
"Ryan McGuire","Feb 29, 2004",12,"C","Guelph Storm",37,3,7,10,0.27,0
"PJ Forgione","Nov 12, 2004",27,"D","Saginaw Spirit",27,3,6,9,0.33,0
"Alex Kostov","Jun  3, 2006",17,"RW","Soo Greyhounds",33,3,6,9,0.27,0
"Jett Luchanko","Aug 21, 2006",7,"RW","Guelph Storm",33,3,6,9,0.27,0
"Matthew Virgilio","Mar 24, 2006",25,"RD","Soo Greyhounds",37,3,5,8,0.22,1
