"Name","Pos","Team","GP","G","A","PTS","Pts/G"
"Alex Pharand","RW","Sudbury Wolves",28,13,8,21,0.75
"Cooper Foster","C","Ottawa 67's",29,13,8,21,0.72
"Carey Terrance","C","Erie Otters",29,13,8,21,0.72
"Max Namestnikov (total)","C","Guelph Storm",30,12,9,21,0.7
"Mark Duarte (total)","RW","Soo Greyhounds",30,11,10,21,0.7
"Reid Valade","LW","Kitchener Rangers",25,9,12,21,0.84
"Brenden Sirizzotti (total)","RW","Soo Greyhounds",24,7,14,21,0.88
"Owen Outwater","LW","Kingston Frontenacs",25,7,14,21,0.84
"Evan Konyen","RW","Sudbury Wolves",28,7,14,21,0.75
"Liam Arnsby","C","North Bay Battalion",30,7,14,21,0.7
"Joey Willis","C","Saginaw Spirit",31,7,14,21,0.68
"Beau Akey","D","Barrie Colts",26,5,16,21,0.81
"Mitchell Smith","D","Saginaw Spirit",31,5,16,21,0.68
"Samuel Mayer","D","Peterborough Petes",31,4,17,21,0.68
"Sam Sedley","D","Owen Sound Attack",28,3,18,21,0.75
"Ethan Del Mastro","LD","Mississauga Steelheads",22,2,19,21,0.95
"Aidan Castle","RW","Niagara IceDogs",27,13,7,20,0.74
"Beckett Sennecke","LW","Oshawa Generals",24,11,9,20,0.83
"Logan Mailloux","D","London Knights",24,10,10,20,0.83
"Joseph Serpa (total)","C","Oshawa Generals",26,10,10,20,0.77
"Kaleb Lawrence","LW","Owen Sound Attack",22,8,12,20,0.91
"Pano Fimis","C","Niagara IceDogs",25,8,12,20,0.8
"Anthony Costantini","D","Ottawa 67's",29,5,15,20,0.69
"Jake Murray (total)","D","Guelph Storm",31,3,17,20,0.65
"Nick Lardis","RW","Peterborough Petes",31,12,7,19,0.61
"Zakary Lavoie (total)","RW","Niagara IceDogs",28,11,8,19,0.68
"Pasquale Zito (total)","C","North Bay Battalion",24,7,12,19,0.79
"Zach Filak","C","Sarnia Sting",28,6,13,19,0.68
"Ethan Ritchie","D","Sarnia Sting",30,6,13,19,0.63
"Kocha Delic","C","Sudbury Wolves",19,5,14,19,1
"Paul Ludwinski","C","Kingston Frontenacs",25,5,14,19,0.76
"Malcolm Spence","LW","Erie Otters",25,5,14,19,0.76
"Anthony Cristoforo","D","Windsor Spitfires",24,2,17,19,0.79
"Lucas Moore","D","Hamilton Bulldogs",28,1,18,19,0.68
"Elias Cohen","C","Erie Otters",26,12,6,18,0.69
"Anthony Romani","C","North Bay Battalion",30,10,8,18,0.6
"Nikita Tarasevich","LW","North Bay Battalion",29,8,10,18,0.62
"Easton Cowan","C","London Knights",29,7,11,18,0.62
"Gavin White","D","Hamilton Bulldogs",17,5,13,18,1.06
"Chas Sharpe","RD","Mississauga Steelheads",30,4,14,18,0.6
"Quinton Burns","D","Kingston Frontenacs",30,1,17,18,0.6
"Jordan D'Intino","LW","Soo Greyhounds",30,9,8,17,0.57
"Daniel Michaud","C","Niagara IceDogs",24,8,9,17,0.71
"Michael Renwick","D","Windsor Spitfires",28,7,10,17,0.61
"Colby Saganiuk","C","Erie Otters",19,5,12,17,0.89
"Dylan Roobroeck","LW","Oshawa Generals",28,4,13,17,0.61
"David Jesus","D","Niagara IceDogs",27,1,16,17,0.63
"Angus MacDonell","C","Sarnia Sting",30,12,4,16,0.53
"Zayne Parekh","D","Saginaw Spirit",21,9,7,16,0.76
"Valentin Zhugin","LW","Guelph Storm",28,8,8,16,0.57
"Jake Karabela","LW","Guelph Storm",31,7,9,16,0.52
"Max McCue","LW","London Knights",20,6,10,16,0.8
"Ethan Larmand","C","Sudbury Wolves",26,5,11,16,0.62
"Patrick Thomas","C","Hamilton Bulldogs",28,5,11,16,0.57
"Declan Waddick","C","Niagara IceDogs",27,10,5,15,0.56
"Tyler Boucher","RW","Ottawa 67's",17,9,6,15,0.88
"Sahil Panwar (total)","C","Peterborough Petes",29,8,7,15,0.52
"Sam Alfano","RW","Erie Otters",20,7,8,15,0.75
"Theo Hill","C","Saginaw Spirit",29,7,8,15,0.52
"Liam Gilmartin","LW","Erie Otters",22,6,9,15,0.68
"Chris Barlas","C","Ottawa 67's",29,6,9,15,0.52
"Simon Slavicek","C","Flint Firebirds",31,5,10,15,0.48
"Marko Sikic","RW","Sarnia Sting",32,4,11,15,0.47
"Jacob Holmes","D","Sudbury Wolves",28,3,12,15,0.54
"Luca Marrelli","D","Oshawa Generals",28,3,12,15,0.54
"Tristan Bertucci","D","Flint Firebirds",27,2,13,15,0.56
"Nicholas DeAngelis","D","Windsor Spitfires",29,1,14,15,0.52
"Ethan Hay","C","Flint Firebirds",31,8,6,14,0.45
"Henry Mews","D","Ottawa 67's",20,6,8,14,0.7
"Cooper Walker","C","Guelph Storm",29,6,8,14,0.48
"Kai Schwindt","LW","Mississauga Steelheads",30,6,8,14,0.47
"Luke Torrance","LW","Oshawa Generals",27,5,9,14,0.52
"Gabriel Frasca","C","Kingston Frontenacs",24,4,10,14,0.58
"Charlie Callaghan","LD","Mississauga Steelheads",25,4,10,14,0.56
"Cam Allen","D","Guelph Storm",31,4,10,14,0.45
"Matthew Mania","D","Sudbury Wolves",27,3,11,14,0.52
"Luca D'Amato (total)","D","Oshawa Generals",31,1,13,14,0.45
"Ruslan Gazizov","LW","London Knights",17,9,4,13,0.76
"Juan Copeland","LW","Niagara IceDogs",23,6,7,13,0.57
"Braeden Bowman","RW","Guelph Storm",17,5,8,13,0.76
"Luke McNamara","C","Saginaw Spirit",30,5,8,13,0.43
"Andre Anania","D","Sudbury Wolves",24,4,9,13,0.54
"Justin DeZoete","RW","Peterborough Petes",31,4,9,13,0.42
"Jackson Edward","D","London Knights",27,3,10,13,0.48
"Thomas Sirman","D","Ottawa 67's",29,3,10,13,0.45
"Roman Schmidt","D","Kitchener Rangers",26,2,11,13,0.5
"Marco Mignosa","RW","Soo Greyhounds",30,2,11,13,0.43
"Landon Sim","LW","London Knights",29,9,3,12,0.41
"Kevin He","LW","Niagara IceDogs",27,8,4,12,0.44
"Trent Swick","LW","Kitchener Rangers",19,7,5,12,0.63
"Christopher Thibodeau","RW","Kingston Frontenacs",30,7,5,12,0.4
"Roberto Mancini","D","Saginaw Spirit",31,7,5,12,0.39
"Nolan Dann","LW","Niagara IceDogs",27,5,7,12,0.44
"Noah Sedore","LW","Erie Otters",29,5,7,12,0.41
"Owen Van Steensel","LW","North Bay Battalion",30,5,7,12,0.4
"Ben McFarlane","RW","Guelph Storm",31,5,7,12,0.39
"Easton Wainwright","C","Sarnia Sting",32,5,7,12,0.38
"Ryan Humphrey","LW","Hamilton Bulldogs",20,3,9,12,0.6
"Gerard Keane (total)","D","Niagara IceDogs",21,3,9,12,0.57
"Julian Fantino","RW","Owen Sound Attack",29,3,9,12,0.41
"Simon Motew","D","Kitchener Rangers",24,2,10,12,0.5
"Kasper Larsen","LD","Mississauga Steelheads",17,1,11,12,0.71
"Nolan Seed","D","Owen Sound Attack",30,1,11,12,0.4
"Jack Van Volsen","C","Peterborough Petes",24,7,4,11,0.46
"Florian Xhekaj","LW","Hamilton Bulldogs",28,7,4,11,0.39
"Tommy Purdeller","RW","Peterborough Petes",18,6,5,11,0.61
"Cole Brown","RW","Hamilton Bulldogs",20,5,6,11,0.55
"Declan McDonnell","RW","Barrie Colts",25,4,7,11,0.44
"Porter Martone","RW","Sarnia Sting",26,4,7,11,0.42
"Nic Sima (total)","RW","Saginaw Spirit",29,4,7,11,0.38
"Noah Morneau","C","Windsor Spitfires",26,3,8,11,0.42
"Davis Codd","RW","Saginaw Spirit",20,2,9,11,0.55
"Tomáš Hamara","D","Kitchener Rangers",24,2,9,11,0.46
"Will Gerrior","LW","Ottawa 67's",29,2,9,11,0.38
"Paul Christopoulos","D","North Bay Battalion",30,1,10,11,0.37
"Liam Greentree","RW","Windsor Spitfires",28,8,2,10,0.36
"Djibril Toure","D","Sudbury Wolves",25,5,5,10,0.4
"Adam Zidlicky","C","Kitchener Rangers",25,5,5,10,0.4
"Christopher O'Flaherty","LW","Windsor Spitfires",29,5,5,10,0.34
"Justin Cloutier","RW","Soo Greyhounds",30,5,5,10,0.33
"Andrew Gibson","RD","Soo Greyhounds",30,5,5,10,0.33
"Zander Veccia","RW","Mississauga Steelheads",30,5,5,10,0.33
"Ryan Del Monte","C","London Knights",15,4,6,10,0.67
"Jax Dubois","C","Peterborough Petes",25,4,6,10,0.4
"Callum Chisholm","D","Barrie Colts",26,4,6,10,0.38
"Kaleb Smith","C","Erie Otters",26,4,6,10,0.38
"Jacob Battaglia","RW","Kingston Frontenacs",29,4,6,10,0.34
"Dylan Robinson","D","Sudbury Wolves",16,3,7,10,0.63
"Luke Misa","C","Mississauga Steelheads",30,3,7,10,0.33
"Sebastien Gervais","LW","Saginaw Spirit",31,3,7,10,0.32
"Braeden O'Keefe","C","Hamilton Bulldogs",28,2,8,10,0.36
"Tai York","LW","Barrie Colts",24,6,3,9,0.38
"Maddox Callens","LW","Kingston Frontenacs",17,5,4,9,0.53
"Tomislav Brennan","C","Owen Sound Attack",22,4,5,9,0.41
"Cooper Matthews","RW","Barrie Colts",27,4,5,9,0.33
"Sam Dickinson","D","London Knights",23,3,6,9,0.39
"Artem Grushnikov","D","Hamilton Bulldogs",26,3,6,9,0.35
